Date,Rocket-TVL,market_cap
5/1/2023,1484983452,903378071.2
5/2/2023,1463744385,899085843
5/3/2023,1502968548,940608855.3
5/4/2023,1566731725,1003597357
5/5/2023,1539903771,962245292.1
5/6/2023,1637351745,984336300
5/7/2023,1551577171,935253383.9
5/8/2023,1541584698,951090805.1
5/9/2023,1510168473,913003826.2
5/10/2023,1527683514,919200621.1
5/11/2023,1514358231,907427974.1
5/12/2023,1484941958,872174089.4
5/13/2023,1527728333,905511299.9
5/14/2023,1568638315,971415838
5/15/2023,1585234997,1000472693
5/16/2023,1614701553,1010139272
5/17/2023,1613696062,967686037.3
5/18/2023,1635575831,981277793.8
5/19/2023,1631652027,964084029.1
5/20/2023,1638219946,953782275.3
5/21/2023,1670552389,959959845
5/22/2023,1656540735,958268146.6
5/23/2023,1658007528,925953120
5/24/2023,1694425069,944360489.4
5/25/2023,1642663649,898594335.8
5/26/2023,1657827841,901593641.6
5/27/2023,1693840558,914395507.4
5/28/2023,1717334351,918574885.2
5/29/2023,1793661677,960325524.8
5/30/2023,1774080173,954384620.1
5/31/2023,1800226749,957560998.4
6/1/2023,1775721549,943494471.7
6/2/2023,1782756974,946104197.1
6/3/2023,1819588540,956118785.8
6/4/2023,1817783830,949322353.1
6/5/2023,1814993888,958068071.9
6/6/2023,1771979384,919399872.1
6/7/2023,1849952471,947468713.7
6/8/2023,1799935655,915099072.5
6/9/2023,1815346422,918247713.4
6/10/2023,1811830003,924518840.2
6/11/2023,1717382958,855916253
6/12/2023,1722801522,857843043.5
6/13/2023,1682336774,803870439.7
6/14/2023,1699798004,801078444.7
6/15/2023,1617090570,762435952.5
6/16/2023,1633418829,778813653.5
6/17/2023,1690941140,798590845.6
6/18/2023,1699375843,802945240.6
6/19/2023,1701239358,799551064
6/20/2023,1702275944,789674206.3
6/21/2023,1776973703,811541926.7
6/22/2023,1869933529,799678174.9
6/23/2023,1841410235,797524578.2
6/24/2023,1845990644,791686839.3
6/25/2023,1822571617,748464324.6
6/26/2023,1843464219,753928677
6/27/2023,1817276694,729535787.4
6/28/2023,1823530665,739522254.2
6/29/2023,1782810035,714978071
6/30/2023,1810433739,726422661.7
7/1/2023,1893250953,751207983
7/2/2023,1870277665,733509264.1
7/3/2023,1902909788,737811732.4
7/4/2023,1929083276,762704130.4
7/5/2023,1914191643,754437619.9
7/6/2023,1883758276,748421119.3
7/7/2023,1827488529,725327455.5
7/8/2023,1850080766,710125818.6
7/9/2023,1848714864,706574279.2
7/10/2023,1848558324,706072810.3
7/11/2023,1863818845,698433523.4
7/12/2023,1874657662,711720007.7
7/13/2023,1877210203,701126947.9
7/14/2023,2023457304,742683587.1
7/15/2023,1941279690,715908116.2
7/16/2023,1943875569,710681120.7
7/17/2023,1928333640,697081060
7/18/2023,1914216636,679603296.6
7/19/2023,1905860799,662055522.5
7/20/2023,1880733373,637008559.5
7/21/2023,1855549631,589771175.4
7/22/2023,1901234015,603684888.3
7/23/2023,1871859713,596101618.4
7/24/2023,1910907382,625050633.4
7/25/2023,1846386519,580714305.6
7/26/2023,1852287271,578607126.1
7/27/2023,1865012260,577539448
7/28/2023,1866654325,582768655
7/29/2023,1880633136,576059300
7/30/2023,1886666230,575529302.3
7/31/2023,1879520769,574813305.2
8/1/2023,1858604227,571593071.5
8/2/2023,1879870334,582452061
8/3/2023,1853286180,564572505.9
8/4/2023,1845617134,554607449
8/5/2023,1845834913,548771477.3
8/6/2023,1858733661,546952600.5
8/7/2023,1853383104,549406215.7
8/8/2023,1853538767,526103316.4
8/9/2023,1858252285,504369940
8/10/2023,1887587302,536260047
8/11/2023,1891591645,560891543.5
8/12/2023,1880810534,535653222.4
8/13/2023,1885142187,540737209.1
8/14/2023,1873106244,524040474.5
8/15/2023,1881896057,531618023.6
8/16/2023,1859634775,517117763.2
8/17/2023,1835097682,534896900.4
8/18/2023,1740216976,502247281.8
8/19/2023,1709385705,483022061
8/20/2023,1722551409,493166871.6
8/21/2023,1729452546,492169628.3
8/22/2023,1717309127,488537043
8/23/2023,1675924084,466780201.7
8/24/2023,1741810478,481967773.5
8/25/2023,1718886895,470321946.6
8/26/2023,1708907747,461879490
