Date,Rocket-TVL,market_cap
2021-12-21,347357597.1,750102320.7130547
2021-12-22,357694525.2,746319213.6585877
2021-12-23,355268107.5,743314469.3680592
2021-12-24,367586607.1,752226873.0736694
2021-12-25,369481993.7,744286790.9486324
2021-12-26,375416756.1,754564699.0118773
2021-12-27,378353659.5,753459148.8036915
2021-12-28,374713385.4,742956881.8541375
2021-12-29,360124194.9,704794779.9114037
2021-12-30,351775040.3,670557758.4167349
2021-12-31,355643433.8,662909230.7440965
2022-01-01,371356252.8,677543873.5749835
2022-01-02,379447720.3,689690670.6590792
2022-01-03,389638621.2,713731925.1822075
2022-01-04,389521794.6,706933500.0364317
2022-01-05,403785460,738255863.0042418
2022-01-06,373568920.1,675118867.1551852
2022-01-07,360071695,661054618.2324375
2022-01-08,341323249.6,609805503.5493774
2022-01-09,330706901.4,574124344.5844339
2022-01-10,338483343.1,592914649.6259042
2022-01-11,330816858.7,569866415.2769072
2022-01-12,348652118.3,603381015.662049
2022-01-13,361309738.7,623351074.197117
2022-01-14,357293167.8,615807243.8984039
2022-01-15,366116571.1,624152625.01815
2022-01-16,373134340.6,645768139.7873577
2022-01-17,376776469.3,645080951.2149497
2022-01-18,369605992.3,618914861.9865263
2022-01-19,365576838.1,608350440.2334563
2022-01-20,363325376.8,603213707.0404745
2022-01-21,351658148.8,583393047.5682509
2022-01-22,299968156.1,492995023.33679503
2022-01-23,281142961.5,450744717.52035457
2022-01-24,296149476.3,485201872.7977216
2022-01-25,282881961.9,438356913.3076076
2022-01-26,277167483.4,448689843.252098
2022-01-27,313293816,438112059.0058617
2022-01-28,286084534.6,439329405.8159967
2022-01-29,301211086.6,454774467.9742383
2022-01-30,309406487.8,466203928.2707464
2022-01-31,306971073.4,468363490.0158269
2022-02-01,324610838.6,483793727.2103882
2022-02-02,337966824.1,507268430.8992381
2022-02-03,328846291.2,483948845.1640109
2022-02-04,329821136.3,487053429.6253231
2022-02-05,365894927.8,547463113.1664568
2022-02-06,373576372.6,553560234.1825427
2022-02-07,380023155.2,558567220.6184503
2022-02-08,392444783.1,572897735.1655294
2022-02-09,391946508.3,570886097.3771205
2022-02-10,411450894.5,591148080.7845922
2022-02-11,387992794.4,564468730.2602245
2022-02-12,377444670.8,537131046.9307286
2022-02-13,379490533.1,532935667.0566296
2022-02-14,376327852,526773859.4272463
2022-02-15,384680793.9,537325541.3243089
2022-02-16,418674482.5,578503127.9145373
2022-02-17,415683157,563627233.7938563
2022-02-18,384170965.5,514957876.7727136
2022-02-19,371860138.2,496892567.81662005
2022-02-20,369360901.2,491209083.2613373
2022-02-21,356643099.4,462498102.2848213
2022-02-22,342340537,423278477.1551673
2022-02-23,344589525.3,419143285.0954244
2022-02-24,345754289.1,421286876.7293981
2022-02-25,342755036.3,391734747.8940115
2022-02-26,379061553.7,439962314.4370653
2022-02-27,388590051.2,466202332.9596321
2022-02-28,372480588.2,441886159.7548444
2022-03-01,421556998.9,491710539.5349934
2022-03-02,422523040.2,489058771.8668837
2022-03-03,427408710.9,482011629.5791032
2022-03-04,413322788.3,467597037.3753054
2022-03-05,390021907.9,435952982.53787583
2022-03-06,400300229,445499776.3636479
2022-03-07,383321788.5,430195007.5278431
2022-03-08,384794123.7,403275866.0417513
2022-03-09,396618996.5,423264274.1118333
2022-03-10,420472176,456050640.379772
2022-03-11,434012554,434562502.4198072
2022-03-12,453662608.2,442371112.5941007
2022-03-13,468107938.4,452025330.1886102
2022-03-14,462684945.9,444681414.1192019
2022-03-15,480052969.9,452884439.9482544
2022-03-16,489781006.8,462043262.43088347
2022-03-17,524151058.7,491535709.3478373
2022-03-18,530932824.1,470169906.7893973
2022-03-19,578753007.4,512551628.5008671
2022-03-20,590458064,518751760.2844741
2022-03-21,581260035.8,508114930.534427
2022-03-22,593939917.8,514428995.341504
2022-03-23,620493963.8,528088132.9165848
2022-03-24,633653941,534044352.41410273
2022-03-25,654091960.5,549623466.6862652
2022-03-26,655112777.7,550980664.4654372
2022-03-27,664930553.1,554048564.5205109
2022-03-28,697064454.2,584394619.5648946
2022-03-29,706468002.6,586649094.6526225
2022-03-30,718315367.3,598714184.4155766
2022-03-31,717401353.2,597634703.4287626
2022-04-01,701311925.8,581483069.9682496
2022-04-02,741636594.1,597894279.907113
2022-04-03,733961290.7,607450009.3647431
2022-04-04,742368182.9,612452499.8503519
2022-04-05,747704176,610518611.4208195
2022-04-06,710096610.6,600505499.1295756
2022-04-07,681973091.2,562867934.5655221
2022-04-08,692489074.9,564710681.4701134
2022-04-09,688465592.7,557486640.3209426
2022-04-10,701124463.2,568988707.4058704
2022-04-11,690227387.7,563905348.6012139
2022-04-12,639842892.6,501309874.1711317
2022-04-13,656009570.4,524136723.0081832
2022-04-14,677131930.9,541909718.650771
2022-04-15,658497446.6,536877981.5191344
2022-04-16,664655331.6,542385124.0428574
2022-04-17,670437902.8,540714904.8740103
2022-04-18,658674605.1,539241614.4898511
2022-04-19,674677619.5,540252309.9110936
2022-04-20,679335195.1,549589828.1607492
2022-04-21,682967022,553813852.216957
2022-04-22,661714736.9,534073659.26963335
2022-04-23,657592144.6,515223564.5408433
2022-04-24,652827089.1,523740466.4138403
2022-04-25,637308330.4,523965379.57186633
2022-04-26,670625841.2,536183534.8297361
2022-04-27,630715213.7,496459537.1704552
2022-04-28,646645179.6,517183665.4900487
2022-04-29,656283430.4,524184777.7093604
2022-04-30,629206205.4,498620303.01534647
2022-05-01,612955381.9,480348079.24728
2022-05-02,633747414.7,502061919.43809056
2022-05-03,636715927.5,508470958.4697056
2022-05-04,625872710.9,495738546.9742765
2022-05-05,661858712.6,522200258.5470193
2022-05-06,620207626.4,488047197.6518372
2022-05-07,609791015.7,479142396.0682933
2022-05-08,601669155.5,472396672.7181558
2022-05-09,574550080.8,452865654.9746295
2022-05-10,513601753.6,401393603.1159657
2022-05-11,533365400.1,409517240.9175263
2022-05-12,481570807.2,365157828.8579469
2022-05-13,429492659.4,292387265.0468353
2022-05-14,444509159.3,299788607.821842
2022-05-15,456852036.9,320623010.44883645
2022-05-16,479102802.2,342039116.1658345
2022-05-17,454965897.8,326611557.96489006
2022-05-18,474927231.5,343225467.29479617
2022-05-19,436811693.6,310144309.283164
2022-05-20,451872337.1,320692846.0662567
2022-05-21,445931526.7,316640995.2489393
2022-05-22,450719746.8,321349670.82339287
2022-05-23,465574559.3,329174375.6149904
2022-05-24,453888649.1,317500165.4014886
2022-05-25,453176183.8,321275294.41334355
2022-05-26,452550221,313235777.4374415
2022-05-27,419206744,284696322.6523311
2022-05-28,397745934.7,248838147.35035816
2022-05-29,412352869.1,266940544.50283995
2022-05-30,417933381.3,270857274.29799384
2022-05-31,459542682.9,299768755.5032396
2022-06-01,453194579.1,299545299.9011162
2022-06-02,421631463.5,275106830.24493414
2022-06-03,428903443.6,286685637.2970686
2022-06-04,418124380.4,270631865.45959646
2022-06-05,424938893.4,273380435.6587665
2022-06-06,426201042.8,266062898.17207652
2022-06-07,415164504.1,269684553.9972424
2022-06-08,424370494.6,256652861.1959504
2022-06-09,422872554.5,260501671.6402045
2022-06-10,422841454.9,257982850.7792152
2022-06-11,390823348.1,232055637.2740296
2022-06-12,358753961.6,209933260.056313
2022-06-13,335932951.1,185658681.1028316
2022-06-14,259915044.7,154551028.31256053
2022-06-15,280698507.9,152292672.4001662
2022-06-16,286559892.8,162109801.1140688
2022-06-17,249811826.8,142872166.53336224
2022-06-18,255694120.1,144667530.25293505
2022-06-19,233142805,129734223.54585208
2022-06-20,258161025.9,146962603.96241555
2022-06-21,264967763.6,152459459.05971453
2022-06-22,266746359.5,158694275.31797713
2022-06-23,256426993.4,148311285.0214269
2022-06-24,271938394,160191224.5629557
2022-06-25,294864268.2,182631500.68915468
2022-06-26,302230894.1,190261773.5320107
2022-06-27,293678722.2,186105006.68787903
2022-06-28,289007572.8,183860216.59326527
2022-06-29,278804239.8,170974488.0720712
2022-06-30,272175139.7,167720130.09852296
2022-07-01,274738033.5,164025260.66011348
2022-07-02,269023749.5,171591699.50206664
2022-07-03,274599371.5,175580231.87319404
2022-07-04,277755394.9,176928518.75632858
2022-07-05,298294976.6,186127286.08998385
2022-07-06,295142047.1,180386012.7362403
2022-07-07,305426010.6,187312935.65990743
2022-07-08,318281995.3,195539652.83986595
2022-07-09,313564423.7,195821072.1945873
2022-07-10,315869926.9,199933528.63031867
2022-07-11,302916619.6,190089996.8239011
2022-07-12,285381316.5,178490066.65352908
2022-07-13,272498773.4,172172240.59831837
2022-07-14,291247000.9,184956810.75199524
2022-07-15,311112290.3,199560746.61530763
2022-07-16,322217726.6,211293345.92371103
2022-07-17,359129825.8,229160911.76531035
2022-07-18,361698563.8,249560118.1895693
2022-07-19,425698167.9,291034611.3219404
2022-07-20,418109439.1,290332799.5669549
2022-07-21,413358237.8,286668640.59623253
2022-07-22,425498039.5,298366257.1236124
2022-07-23,429215049.1,281927114.05345947
2022-07-24,433293966.2,286921327.1350676
2022-07-25,429066027.6,306189742.2005067
2022-07-26,407336139,279029438.1762432
2022-07-27,394364591,274112200.1875683
2022-07-28,457976098.2,317538614.9413833
2022-07-29,496680686.3,343026833.9075252
2022-07-30,493873875,351620954.3609043
2022-07-31,495586988,344027672.88283795
2022-08-01,497193614.8,357717439.2914652
2022-08-02,504938476,406699282.6553106
2022-08-03,495586712.1,425737338.7903923
2022-08-04,524369702.3,445480021.9384855
2022-08-05,508185357.3,426983102.0665728
2022-08-06,554953315.3,471554961.25883657
2022-08-07,538918299.3,469297229.70705897
2022-08-08,547967585.8,471858924.0498956
2022-08-09,571541729.8,492553017.1350356
2022-08-10,528219465.2,446036789.4135407
2022-08-11,589944478,477528063.2116658
2022-08-12,585358465.2,463678527.9595423
2022-08-13,596840249.7,458147864.3508419
2022-08-14,609845882.4,472391448.3855315
2022-08-15,593402322.5,442312136.7868847
2022-08-16,566182858,415648275.2910332
2022-08-17,574510743.6,424590264.2879221
2022-08-18,572970020.9,444168391.33903617
2022-08-19,565609022.8,447359950.0584259
2022-08-20,498382221.8,375817683.00351685
2022-08-21,481471568.1,354227198.5671989
2022-08-22,504067748.4,395093184.0230473
2022-08-23,505048499.5,384293051.5134011
2022-08-24,511970114.6,400832993.1239719
2022-08-25,525149704.2,409905626.415556
2022-08-26,530971063.5,417792625.047391
2022-08-27,473646535.7,365284679.0587596
2022-08-28,468793071.9,359210742.87315524
2022-08-29,446863513.4,348599759.25113934
2022-08-30,485646723.8,373705438.3994159
2022-08-31,491161147.6,382605477.4593105
2022-09-01,487893405.6,379698671.5696828
2022-09-02,502747642.9,394985429.2988208
2022-09-03,502237466.5,386428102.8950068
2022-09-04,496198648.3,383576527.1420914
2022-09-05,503078533.6,394285409.6935255
2022-09-06,530731732.9,403175340.4503766
2022-09-07,496319622,400376526.4171749
2022-09-08,525914191,416547199.93067217
2022-09-09,558495736.8,491874896.5771805
2022-09-10,593867081.4,617167032.4346057
2022-09-11,616923106.9,641820126.2238415
2022-09-12,613801610.3,640583381.1085252
2022-09-13,584079056.2,593169517.1846331
2022-09-14,543903649.8,550989640.5738658
2022-09-15,569950349.8,577140261.2419248
2022-09-16,500484250.7,480853028.15462
2022-09-17,496501437.1,485944548.3662228
2022-09-18,514074421.4,498314655.8093246
2022-09-19,481709557.9,463149538.7330701
2022-09-20,495221673.9,478397151.0857322
2022-09-21,498956847.2,464215892.4195363
2022-09-22,468900392,439122219.40654135
2022-09-23,501428797.2,458093642.4024193
2022-09-24,500804164,457045503.65451366
2022-09-25,503536601.3,454255827.44305545
2022-09-26,501117053.3,443453217.3566508
2022-09-27,519548899.2,452455477.9882194
