,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,terra,moonriver,moonbeam,ethereum,solana,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot
,10/01/2021,1610236800,0,,,26299896.12437968,,26299896.12437968,,,,26299896.12437968,,,,26299896.12437968,,,,,,,,,,21559.95427640078,,,,21559.95427640078,,,,,,
,11/01/2021,1610323200,0,,,33624539.75084533,,33624539.75084533,,,,33624539.75084533,,,,33624539.75084533,,,,,,,,,,25373.173663552738,,,,25373.173663552738,,,,,,
,12/01/2021,1610409600,0,,,28869701.748775296,,28869701.748775296,,,,28869701.748775296,,,,28869701.748775296,,,,,,,,,,26216.711364262967,,,,26216.711364262967,,,,,,
,13/01/2021,1610496000,0,,,30663261.6134013,,30663261.6134013,,,,30663261.6134013,,,,30663261.6134013,,,,,,,,,,28024.975303056668,,,,28024.975303056668,,,,,,
,14/01/2021,1610582400,0,,,50094240.95443638,,50094240.95443638,,,,50094240.95443638,,,,50094240.95443638,,,,,,,,,,46612.376077266206,,,,46612.376077266206,,,,,,
,15/01/2021,1610668800,0,,,73598480.99316934,,73598480.99316934,,,,73598480.99316934,,,,73598480.99316934,,,,,,,,,,63082.58531555909,,,,63082.58531555909,,,,,,
,16/01/2021,1610755200,0,,,81861176.08144091,,81861176.08144091,,,,81861176.08144091,,,,81861176.08144091,,,,,,,,,,66848.27232309055,,,,66848.27232309055,,,,,,
,17/01/2021,1610841600,0,,,85283818.30063532,,85283818.30063532,,,,85283818.30063532,,,,85283818.30063532,,,,,,,,,,70633.49346179754,,,,70633.49346179754,,,,,,
,18/01/2021,1610928000,0,,,86160071.78733306,,86160071.78733306,,,,86160071.78733306,,,,86160071.78733306,,,,,,,,,,71331.74346100284,,,,71331.74346100284,,,,,,
,19/01/2021,1611014400,0,,,87391374.57901919,,87391374.57901919,,,,87391374.57901919,,,,87391374.57901919,,,,,,,,,,71459.79802913294,,,,71459.79802913294,,,,,,
,20/01/2021,1611100800,0,,,99335242.45683064,,99335242.45683064,,,,99335242.45683064,,,,99335242.45683064,,,,,,,,,,71626.54356813712,,,,71626.54356813712,,,,,,
,21/01/2021,1611187200,0,,,100287613.82475188,,100287613.82475188,,,,100287613.82475188,,,,100287613.82475188,,,,,,,,,,76711.19052521746,,,,76711.19052521746,,,,,,
,22/01/2021,1611273600,0,,,96701078.68189676,,96701078.68189676,,,,96701078.68189676,,,,96701078.68189676,,,,,,,,,,77039.77419662838,,,,77039.77419662838,,,,,,
,23/01/2021,1611360000,0,,,92488787.17936112,,92488787.17936112,,,,92488787.17936112,,,,92488787.17936112,,,,,,,,,,77150.75198977528,,,,77150.75198977528,,,,,,
,24/01/2021,1611446400,0,,,110569488.7650661,,110569488.7650661,,,,110569488.7650661,,,,110569488.7650661,,,,,,,,,,88808.11024760082,,,,88808.11024760082,,,,,,
,25/01/2021,1611532800,0,,,121085410.26797724,,121085410.26797724,,,,121085410.26797724,,,,121085410.26797724,,,,,,,,,,90206.44114968789,,,,90206.44114968789,,,,,,
