Date,Lido.5,market_cap
10/2/2022,5963070844,989403691.1
10/3/2022,5827759009,953313706.8
10/4/2022,6028385658,1016339187
10/5/2022,6168139746,1045059419
10/6/2022,6208059044,1015379009
10/7/2022,6187567958,1001795319
10/8/2022,6091152487,992270413.6
10/9/2022,6000948217,993086781.1
10/10/2022,6073998879,981772291.8
10/11/2022,5865086506,892088837.1
10/12/2022,5889584122,896115598.9
10/13/2022,5991392051,863434364.5
10/14/2022,5897564725,862585171.8
10/15/2022,5933377378,886141557.7
10/16/2022,5850489386,928406524.9
10/17/2022,5972254990,929466190.2
10/18/2022,6110460901,1065167493
10/19/2022,5979875670,1021759861
10/20/2022,5877232361,968329650
10/21/2022,5890087141,1047744264
10/22/2022,6009014506,1070527980
10/23/2022,6038833640,1062367074
10/24/2022,6280910756,1083909194
10/25/2022,6196801225,1064947872
10/26/2022,6810434687,1168476118
10/27/2022,7254349800,1215603183
10/28/2022,7113693211,1163888543
10/29/2022,7268928087,1205484467
10/30/2022,7609382456,1170406634
10/31/2022,7501819225,1118010040
11/1/2022,7474286124,1102147865
11/2/2022,7591802624,1079399945
11/3/2022,7384757340,1099326686
11/4/2022,7411328033,1174474910
11/5/2022,7958186988,1283861597
11/6/2022,7887740419,1248412783
11/7/2022,7624889841,1171641880
11/8/2022,7594177930,1234578625
11/9/2022,6399103083,960114588.6
11/10/2022,5468354994,663680697.8
11/11/2022,6214169999,893220521.4
11/12/2022,6133909714,878321923.9
11/13/2022,6035233262,814273395.1
11/14/2022,5804399095,800178541.6
11/15/2022,5978998668,849063811.1
11/16/2022,6031112792,909605441.4
11/17/2022,5882952219,916795126.7
11/18/2022,5826362533,941484199.6
11/19/2022,5830238013,932804896.6
11/20/2022,5888825008,915143661.4
11/21/2022,5500653742,847533051.8
11/22/2022,5371790230,854417191
11/23/2022,5496181374,863860559.2
11/24/2022,5722361918,894768549.3
11/25/2022,5797427589,879599616.1
11/26/2022,5837284789,862231595.8
11/27/2022,5834590244,841629062.8
11/28/2022,5805209273,841331358.5
11/29/2022,5649099738,845004706.4
11/30/2022,6189278062,861729358.3
12/1/2022,6275577816,898244020.2
12/2/2022,6226843844,869012906
12/3/2022,6261320349,888203020.7
12/4/2022,6076854257,870396468.6
12/5/2022,6278000899,882260108.3
12/6/2022,6143950848,861155386.4
12/7/2022,6160919509,849745328.4
12/8/2022,5991080970,810508559.5
12/9/2022,6203167461,843022417
12/10/2022,6146347602,843134566.9
12/11/2022,6166249166,826299015.2
12/12/2022,6109663500,833478044.3
12/13/2022,6190291738,861142900.7
12/14/2022,6449735466,911977711.9
12/15/2022,6372157607,928818514.9
12/16/2022,6208809735,926950020
12/17/2022,5725216905,825840554.5
12/18/2022,5791000792,821001766.4
12/19/2022,5813017465,812285021.7
12/20/2022,5726797914,783114611.2
12/21/2022,5909156017,814596716.2
12/22/2022,5954880390,770665741.9
12/23/2022,5957193085,738899670.7
12/24/2022,5979812531,773846577.1
12/25/2022,5985090952,782789699.4
12/26/2022,5968719080,800595545.8
12/27/2022,6002289009,857075257.5
12/28/2022,5929278814,833750893.1
12/29/2022,5848598663,783819615.3
12/30/2022,5888326526,796375445
12/31/2022,5877772407,796878099.5
1/1/2023,5865784384,788010757.2
1/2/2023,5877675395,890895879.5
1/3/2023,5978870818,1007538000
1/4/2023,5971446273,995022105.5
1/5/2023,6177010337,1138098815
1/6/2023,6178432120,1118011240
1/7/2023,6251891607,1270396748
1/8/2023,6216768015,1231564187
1/9/2023,6367278290,1643708838
1/10/2023,6540307660,1599850544
1/11/2023,6607654982,1590948590
1/12/2023,6957810564,1558796887
1/13/2023,6965692286,1725083139
1/14/2023,7632798213,1751642628
1/15/2023,7586496588,1800200197
1/16/2023,7673741331,1841705256
1/17/2023,7780131820,1769599012
1/18/2023,7809191233,1677773709
1/19/2023,7542156347,1649331662
1/20/2023,7736681154,1648999398
1/21/2023,8274947308,1955292353
1/22/2023,8178015434,2001499220
1/23/2023,8196166622,1852088328
1/24/2023,8257377783,2118804720
1/25/2023,7860942579,1954396959
1/26/2023,8214929843,2104966609
1/27/2023,8105353129,1943011966
1/28/2023,8170358689,2013221363
