snapped_at,price,market_cap,total_volume
2022-03-29,3.781169546172048,627871772.995029,7070030.774843973
2022-03-30,3.85893224224277,1128109710.48867,12771256.784522736
2022-03-31,3.802930017550285,1111900361.1215177,4921264.403003528
2022-04-01,3.66286819382336,1070540455.1605169,9346384.048053632
2022-04-02,4.215862316677833,1231256585.9835482,11229789.523293784
2022-04-03,4.3692808590073176,1279023986.7183435,14229477.865817407
2022-04-04,4.790342341232238,1402663986.3666136,8972211.340215234
2022-04-05,4.92988999476957,1441417349.525819,16649553.546851257
2022-04-06,4.331027972779806,1315479230.225587,14415065.415712778
2022-04-07,3.618481333644246,1101500691.0373318,12482625.393602757
2022-04-08,3.674403690158581,1118160305.8361328,9967049.724477096
2022-04-09,3.2993909157175807,1004103726.3963348,5060132.05534776
2022-04-10,3.421210020468012,1040023711.9696726,2843006.558452646
2022-04-11,3.435559248391988,1044604843.7020612,3123543.3893413497
2022-04-12,2.9862854303801867,858887674.6600362,5731734.415565575
2022-04-13,2.954232104562769,851715720.322962,5074857.106079511
2022-04-14,3.37757952740566,980758576.2022156,9566945.850704512
2022-04-15,2.8947932442862108,844218860.9980326,5313084.343653781
2022-04-16,3.023012490701668,888449241.6751243,4235671.275730156
2022-04-17,3.0236803933643324,895891422.6610552,2963308.76870134
2022-04-18,2.783408250751701,830708652.2744533,3048720.890326163
2022-04-19,2.923829614571536,877374642.9200282,4274605.384064103
2022-04-20,2.94179411290204,887542451.854472,4464175.539415177
2022-04-21,2.8696412021684057,872032445.705803,3811245.986287157
2022-04-22,2.733675879724866,829879793.8004969,4038690.184434189
2022-04-23,2.7512814752813246,844681350.2926087,4604076.653154578
2022-04-24,2.7921015119099266,862173725.0994292,3085867.3679116345
2022-04-25,3.0476235222483865,948434310.4006166,8015541.966570192
2022-04-26,3.284644250039932,1027483562.0405352,6683635.661300116
2022-04-27,2.958988727172712,932651309.7474816,5673151.533269954
2022-04-28,3.217070417009859,1016916939.2669748,4469119.925994689
2022-04-29,3.597343160338476,1144322448.1681862,7974755.005483009
2022-04-30,3.1425636962598653,1005515797.6348315,4805747.045803073
2022-05-01,2.8966201325064325,930745257.1220672,5197627.767596598
2022-05-02,2.88406155850644,932647224.5121604,6006094.697168268
2022-05-03,2.7930453543647977,908843816.0043488,4100905.675593232
2022-05-04,2.7516199365918297,901307754.0049176,4340814.538780193
2022-05-05,3.092290505421432,1017410481.544406,6401168.608900009
2022-05-06,2.802636190227766,928524433.812011,6053938.187276771
2022-05-07,2.77717137506144,926159094.5832894,5457296.750688484
2022-05-08,2.719063482306767,914441763.492548,7364188.076104864
2022-05-09,2.806048877311632,947842742.4731712,13107114.678089997
2022-05-10,1.9953596385967651,685615878.8489966,90593762.1241529
2022-05-11,1.93686265881446,660044301.2217238,37981066.07322226
2022-05-12,1.5300746545585984,532564966.23320806,31118232.50347024
2022-05-13,1.4178066780037226,494528614.7120153,15426647.860378891
2022-05-14,1.4753657118180927,518126888.008764,13869686.51207481
2022-05-15,1.4878535343272878,515213989.24866974,7523684.383268998
2022-05-16,1.4740958341147627,524778973.6605383,7784064.418935592
2022-05-17,1.43366854352801,512633208.5036869,5782582.925324249
2022-05-18,1.5253009625601608,548424210.5307258,8550974.58352684
2022-05-19,1.3701362685646814,496495233.0310329,6065171.808468847
2022-05-20,1.420394016668869,517421021.0865024,7034078.00294641
2022-05-21,1.31912292459619,486782579.7090719,4849751.012063492
2022-05-22,1.3397057388132445,496858563.2559945,4194132.343181937
2022-05-23,1.3236042398559351,496175840.3059605,5792503.317964869
2022-05-24,1.175318905223974,442133714.36918783,4913891.270372087
2022-05-25,1.1010744973044015,414255573.4160255,5903696.953610297
2022-05-26,1.089464793442365,412752030.05527633,5056843.724050716
2022-05-27,1.0077571688996656,384890475.162566,20626517.15504637
2022-05-28,1.0729704341544577,410995710.3932823,25744533.590511207
2022-05-29,1.032355788660973,396923765.8013472,7648900.225678291
2022-05-30,1.1703717441424335,451582147.5362199,14296151.388356648
2022-05-31,1.2201480306367722,474914582.5463969,5144559.084070597
2022-06-01,1.0542640332411828,412936947.7018055,6887532.060652405
2022-06-02,1.0313039995189823,406639399.7679979,5687076.758627437
2022-06-03,1.0256323568152814,406572576.5675197,6366529.079190095
2022-06-04,1.005491131314735,399654253.3062088,4982763.646268842
2022-06-05,1.0213715537924457,407784610.2436335,4537583.079877939
2022-06-06,1.0345528047239465,416377495.9938587,3222626.040023404
2022-06-07,1.064435568725783,431263745.893909,4909508.883231379
2022-06-08,1.0629142066703858,433093261.2269512,4889787.043887846
2022-06-09,1.0074028325436215,414712844.38581073,4044600.8728352585
2022-06-10,1.0250624282951843,423405391.2540623,3786253.7698929366
2022-06-11,1.001104720545582,415755003.5090457,4804030.87300897
2022-06-12,0.8469266142492378,353348939.85007024,5058874.072317796
2022-06-13,0.8003513048338424,337436663.25453013,5286359.147572252
2022-06-14,0.5948301042182892,250711875.9613688,14349389.807531944
2022-06-15,0.6248370158252522,264577855.04624867,6521323.077886004
2022-06-16,0.6181690797449355,263503187.58211544,7300889.469493216
2022-06-17,0.5344807171615505,228780493.27940613,21123330.762871426
2022-06-18,0.5804100860318798,250202701.2273521,9116191.173686909
2022-06-19,0.462443483131829,199873556.0195852,15542387.662981289
2022-06-20,0.5178220343562258,224394135.13682425,15066981.450502122
2022-06-21,0.518894384500377,222976958.6137978,6347022.982461284
2022-06-22,0.5427681894538853,238223856.33752364,47184880.69314954
2022-06-23,0.5120651923769052,226297940.57263985,14177051.30098796
2022-06-24,0.5451643291351518,241951039.94066253,7828976.508388248
2022-06-25,0.644234870506207,286044628.1494679,18266118.30130605
2022-06-26,0.6440210357436582,288561495.80805063,20196486.70199996
2022-06-27,0.6188521896637591,277899451.43348235,9253455.14730338
2022-06-28,0.5756144319620027,259818170.1814108,6971485.766024002
2022-06-29,0.5216398993418203,236495267.64668152,7664432.580671255
2022-06-30,0.4998929632050585,228379904.93063316,5934486.164476521
2022-07-01,0.4467626305192214,201848447.4432473,9291325.857975855
2022-07-02,0.4578957216162718,210251480.66298065,6243263.544228131
2022-07-03,0.4653099475012869,214584877.2026624,15561173.10879597
2022-07-04,0.5012043567184353,232787544.26598743,16187416.610178525
2022-07-05,0.5438402290252241,253616718.659764,13549316.656949388
2022-07-06,0.5677353004265374,265866571.7917219,37685455.8828217
2022-07-07,0.6183993944772256,290713798.1217152,12750957.541154489
2022-07-08,0.668350254358945,317610881.10013306,17389770.119539663
2022-07-09,0.7449391070413826,354369162.608188,43290488.51737279
2022-07-10,0.6817001914843445,326867078.5011888,11082813.322964262
2022-07-11,0.6402536531414544,308316533.68742657,8261247.937638405
2022-07-12,0.6242055639593588,301580545.04250574,6127443.846687091
2022-07-13,0.6382316370642089,310316374.59587,7636663.414783449
2022-07-14,0.939504110383313,458671834.4058616,135371740.04169095
2022-07-15,0.904642774145361,441400762.1188679,37588452.71340604
2022-07-16,1.1653121559299269,572764077.4060724,130967868.7863352
2022-07-17,1.3765307375692155,683346535.8687698,71704813.03961739
2022-07-18,1.6033552621066989,785853937.4857343,194528455.28029084
2022-07-19,1.506896828218668,754916033.7274361,89204661.34363504
2022-07-20,1.5028940860514055,750134883.9288088,53755685.85250482
2022-07-21,1.5755870237780505,796684874.9607136,108030175.63955528
2022-07-22,1.6097888481292038,815536833.1417149,60671786.77962472
2022-07-23,1.5214593786385722,768959102.3261393,55262350.154273145
2022-07-24,1.5965740409897795,810331733.6033832,59066947.27087483
2022-07-25,1.663252271707581,851670224.7942077,66589380.39577036
2022-07-26,1.474922154856924,756823688.8977222,44445651.57946774
2022-07-27,1.4368328067991742,728973792.5052445,37695896.99671654
2022-07-28,1.9273555181899655,991431531.95,133332503.32875285
2022-07-29,2.239247004218404,1140593442.33419,227342702.53421995
2022-07-30,2.476557616217854,1304261103.5076215,268408531.272868
2022-07-31,2.353520929499167,1225053585.5460212,146379042.9351628
2022-08-01,2.1689052955437425,1139584783.005405,67292927.29262742
2022-08-02,2.090568786920432,1099505796.3872223,74982044.72585878
2022-08-03,2.323514608470436,1226158616.5110548,169462857.55145392
2022-08-04,2.5945375272305147,1376186027.479142,227954215.46602875
2022-08-05,2.437088727030656,1280084791.224628,153948476.6796699
2022-08-06,2.621346724862004,1401797169.5318284,139446449.97140127
2022-08-07,2.599816578537499,1399523880.4053404,98748416.674973
2022-08-08,2.459222457021878,1329303083.122191,64966303.94837023
2022-08-09,2.379494847671866,1286130943.7694426,67105332.86568666
2022-08-10,2.267304369118368,1236308413.4574194,94745772.87601812
2022-08-11,2.7072469590973225,1475066082.150952,157959657.2688339
2022-08-12,2.643667531001773,1440257203.452926,168785180.58601493
2022-08-13,2.794722085556965,1539788031.430725,102146420.24418864
2022-08-14,2.9269649676786997,1618722455.384944,149215993.46751106
2022-08-15,2.666753999070254,1479799686.138163,93809131.909015
2022-08-16,2.73952310849668,1524162286.9723668,102036265.63878185
2022-08-17,2.577537483164733,1441299633.258909,69193011.03961512
2022-08-18,2.47461621164148,1392006885.8154294,81931919.90758327
2022-08-19,2.243291918278986,1266764268.187012,54128381.407993264
2022-08-20,1.857575909790809,1074277543.496588,121044869.0725447
2022-08-21,1.8633480990621067,1074059063.1601918,84038359.69721302
