Date,Stader-TVL-total,market_cap
2022-08-30,79375944.37,2993027.251677375
2022-08-31,79232332.05,2945145.762519588
2022-09-01,78838042.41,3087913.693084146
2022-09-02,80142463.18,2985594.3575919364
2022-09-03,78400148.86,3018934.872172657
2022-09-04,78060853.54,2950600.056309565
2022-09-05,78776272.91,2931168.689159045
2022-09-06,81838790.06,2908393.127383854
2022-09-07,76019442.24,2535159.511094077
2022-09-08,79439618.94,2275266.6437650034
2022-09-09,81780778.5,2228521.3322875863
2022-09-10,89105709.25,2359001.67223586
2022-09-11,91099809.64,2448702.683923387
2022-09-12,112637156.3,2458624.974869361
2022-09-13,117089732.6,2454705.967769714
2022-09-14,108866092,2414667.381990872
2022-09-15,107697355.7,2249316.670893369
2022-09-16,104710451.3,2358603.5944102257
2022-09-17,104762017.8,2327715.073286319
2022-09-18,104550633.8,2580115.3868484106
2022-09-19,98098944.86,2396640.408364373
2022-09-20,99648340.09,2542725.063917713
2022-09-21,91457349.15,2577631.5730524026
2022-09-22,88972408.78,2777022.97479642
2022-09-23,94968591.92,2852618.012406697
2022-09-24,97591768.65,2654215.0057603903
2022-09-25,96977712.8,2623746.862675901
2022-09-26,94327018.58,2590628.67358715
2022-09-27,100391122.9,2534435.1634290013
2022-09-28,99305430.1,2548556.939524521
2022-09-29,101451890.6,3630247.6107999934
2022-09-30,145990365,3653727.9129487495
2022-10-01,146223754,3624226.3404636327
2022-10-02,146696684,3609748.782494488
2022-10-03,144756177.3,3608287.178213035
2022-10-04,148362527.7,3497936.679405469
2022-10-05,151925414,3687698.403656018
2022-10-06,151453903.7,3570704.3212837945
2022-10-07,151241996.7,3363944.8209578223
2022-10-08,152479440.9,3433670.204448948
2022-10-09,150582270.5,3471836.805661421
2022-10-10,151669013.7,3500549.5545903407
2022-10-11,145404734.8,3430399.088097501
2022-10-12,149344399.5,2951560.746145178
2022-10-13,155370693.6,2981625.6478114272
2022-10-14,154308400.7,2740886.5821615634
2022-10-15,148805012.5,2814574.8293198487
2022-10-16,148854455.3,2818367.288310011
2022-10-17,149115085.8,2978879.6548999525
2022-10-18,157205391.6,2913282.3966553616
2022-10-19,152736950.6,2822854.067603073
2022-10-20,148167384.2,2782864.040458226
2022-10-21,144199420.7,2710688.38045304
2022-10-22,146867323.1,2667674.3024837296
2022-10-23,145893256,2684607.555646702
2022-10-24,149635296.2,2675748.702158677
2022-10-25,151157069.7,2466240.6831818293
2022-10-26,153978000.5,2525639.815085026
2022-10-27,156002689.7,3431077.312798679
2022-10-28,152095986.1,2684981.342784547
2022-10-29,156276776.2,2602371.216907278
2022-10-30,156786392,2685305.951069508
2022-10-31,155726887.6,3928246.595276546
2022-11-01,155985460.2,4920399.037978524
2022-11-02,151295878.3,4320127.038676837
2022-11-03,152842117.6,4619715.238430782
2022-11-04,160111015.2,4204793.881589714
2022-11-05,174528445.6,4313168.318011171
2022-11-06,170751657.5,5098343.244939356
2022-11-07,81489088.9,5614244.129789411
2022-11-08,167025849.1,5143999.881277193
2022-11-09,144937670.1,4416101.445586671
2022-11-10,123364612.3,3418234.0573083186
